# Gold-set labels - protocol registered 2026-08-07 (see gold_set.py docstring)
# Labelled via web labeler; unsure -> n with [unsure] note.
sheet	query	letter	label	note
01	55279_5d386bad_2	A	y	
01	55279_5d386bad_2	B	n	
01	55279_5d386bad_2	C	n	
01	55279_5d386bad_2	D	y	
01	55279_5d386bad_2	E	y	
01	55279_5d386bad_2	F	y	
01	55279_5d386bad_2	G	n	
01	55279_5d386bad_2	H	n	
01	55279_5d386bad_2	I	y	
01	55279_5d386bad_2	J	y	
02	54374_5c085a74_8	A	y	
02	54374_5c085a74_8	B	y	
02	54374_5c085a74_8	C	y	
02	54374_5c085a74_8	D	y	
02	54374_5c085a74_8	E	y	
02	54374_5c085a74_8	F	n	
02	54374_5c085a74_8	G	y	
03	36194_c9cfd107_3	A	n	
03	36194_c9cfd107_3	B	n	
03	36194_c9cfd107_3	C	n	
03	36194_c9cfd107_3	D	n	
03	36194_c9cfd107_3	E	n	
03	36194_c9cfd107_3	F	n	
03	36194_c9cfd107_3	G	n	
03	36194_c9cfd107_3	H	n	
03	36194_c9cfd107_3	I	y	
04	29727_7b76b4a1_2	A	y	
04	29727_7b76b4a1_2	B	n	
04	29727_7b76b4a1_2	C	n	
04	29727_7b76b4a1_2	D	n	
04	29727_7b76b4a1_2	E	n	
04	29727_7b76b4a1_2	F	n	
04	29727_7b76b4a1_2	G	n	
04	29727_7b76b4a1_2	H	n	
04	29727_7b76b4a1_2	I	n	
05	143471_262d78df_13	A	n	
05	143471_262d78df_13	B	n	
05	143471_262d78df_13	C	n	
05	143471_262d78df_13	D	n	
05	143471_262d78df_13	E	n	
05	143471_262d78df_13	F	n	
05	143471_262d78df_13	G	n	
05	143471_262d78df_13	H	y	
05	143471_262d78df_13	I	n	
05	143471_262d78df_13	J	n	
06	111863_c925f4f3_7	A	y	
06	111863_c925f4f3_7	B	y	
06	111863_c925f4f3_7	C	y	
06	111863_c925f4f3_7	D	y	
06	111863_c925f4f3_7	E	n	
06	111863_c925f4f3_7	F	y	
06	111863_c925f4f3_7	G	n	
06	111863_c925f4f3_7	H	n	
06	111863_c925f4f3_7	I	y	
07	102175_699d5e7c_5	A	y	
07	102175_699d5e7c_5	B	n	
07	102175_699d5e7c_5	C	y	
07	102175_699d5e7c_5	D	y	
07	102175_699d5e7c_5	E	y	
07	102175_699d5e7c_5	F	y	
07	102175_699d5e7c_5	G	y	
07	102175_699d5e7c_5	H	y	
07	102175_699d5e7c_5	I	n	
08	147178_2016d56d_3	A	y	
08	147178_2016d56d_3	B	y	
08	147178_2016d56d_3	C	n	
08	147178_2016d56d_3	D	y	
08	147178_2016d56d_3	E	y	
08	147178_2016d56d_3	F	y	
08	147178_2016d56d_3	G	y	
09	135381_6a74322d_16	A	n	
09	135381_6a74322d_16	B	n	
09	135381_6a74322d_16	C	n	
09	135381_6a74322d_16	D	n	
09	135381_6a74322d_16	E	n	
09	135381_6a74322d_16	F	n	
09	135381_6a74322d_16	G	n	
09	135381_6a74322d_16	H	n	
09	135381_6a74322d_16	I	n	
09	135381_6a74322d_16	J	n	
10	119051_2ebce276_1	A	y	
10	119051_2ebce276_1	B	n	
10	119051_2ebce276_1	C	y	
10	119051_2ebce276_1	D	n	
10	119051_2ebce276_1	E	n	
10	119051_2ebce276_1	F	n	
10	119051_2ebce276_1	G	y	
10	119051_2ebce276_1	H	y	
10	119051_2ebce276_1	I	n	
11	108244_329b1876_14	A	n	
11	108244_329b1876_14	B	y	
11	108244_329b1876_14	C	n	
11	108244_329b1876_14	D	n	
11	108244_329b1876_14	E	n	
11	108244_329b1876_14	F	y	
11	108244_329b1876_14	G	n	
11	108244_329b1876_14	H	n	
11	108244_329b1876_14	I	y	
12	37160_2a95674a_23	A	y	
12	37160_2a95674a_23	B	y	
12	37160_2a95674a_23	C	n	
12	37160_2a95674a_23	D	n	
12	37160_2a95674a_23	E	y	
